,nível,estado,Francisco Gross,Pacotuba,São João,data_hora
254,1.6,Estável,182.2,302.29,71.97,2022-02-10 22:00:00
256,1.7,Subindo,224.62,292.96,81.51,2022-02-11 00:00:00
255,1.6,,224.62,292.96,81.51,2022-02-11 00:00:00
257,1.6,Estável,236.54,299.16,76.42,2022-02-11 02:00:00
258,1.6,Estável,216.75,351.0,68.59,2022-02-11 04:00:00
259,1.6,Estável,207.01,399.53,62.07,2022-02-11 06:00:00
260,1.5,Baixando,207.01,421.24,60.72,2022-02-11 08:00:00
261,1.5,Estável,210.89,406.71,62.07,2022-02-11 10:00:00
262,1.6,Subindo,236.54,378.37,61.62,2022-02-11 12:00:00
263,1.65,Subindo,248.6,364.56,61.17,2022-02-11 14:00:00
264,1.6,Baixando,248.6,371.43,59.37,2022-02-11 16:00:00
265,1.6,Estável,244.57,403.11,102.26,2022-02-11 18:00:00
266,1.6,Estável,232.55,421.24,114.68,2022-02-11 20:00:00
267,1.6,Estável,238.54,424.91,156.62,2022-02-11 22:00:00
268,1.7,,242.55,421.24,153.81,2022-02-12 00:00:00
269,1.55,Baixando,242.55,421.24,153.81,2022-02-12 00:00:00
270,1.8,Subindo,269.02,428.59,160.15,2022-02-12 02:00:00
271,1.9,Subindo,273.15,439.74,163.0,2022-02-12 04:00:00
272,1.9,Estável,254.69,462.43,157.32,2022-02-12 06:00:00
273,1.9,Estável,220.67,485.66,144.88,2022-02-12 08:00:00
274,1.9,Estável,228.57,485.66,123.33,2022-02-12 10:00:00
275,1.9,Estável,210.89,439.74,100.54,2022-02-12 12:00:00
276,1.9,Estável,197.38,403.11,86.22,2022-02-12 14:00:00
277,1.8,Baixando,180.32,385.36,77.42,2022-02-12 16:00:00
278,1.75,Baixando,178.45,351.0,73.44,2022-02-12 18:00:00
279,1.65,Baixando,176.58,324.59,70.99,2022-02-12 20:00:00
280,1.6,Baixando,171.01,302.29,67.17,2022-02-12 22:00:00
281,1.5,Baixando,149.14,292.96,61.62,2022-02-13 02:00:00
282,1.4,Baixando,147.35,286.82,58.49,2022-02-13 04:00:00
283,1.3,Baixando,119.43,265.8,56.29,2022-02-13 06:00:00
284,1.2,Baixando,119.43,251.25,53.72,2022-02-13 08:00:00
285,1.0,Baixando,119.43,234.3,51.61,2022-02-13 10:00:00
286,1.0,,150.94,466.27,39.09,2022-02-17 00:00:00
287,1.15,Subindo,149.14,513.44,44.76,2022-02-17 02:00:00
288,1.24,Subindo,149.14,458.61,43.21,2022-02-17 04:00:00
289,1.42,Subindo,149.14,381.86,40.56,2022-02-17 06:00:00
290,1.5,Subindo,128.01,334.38,38.72,2022-02-17 08:00:00
291,1.25,Baixando,131.48,302.29,37.28,2022-02-17 10:00:00
292,0.98,Baixando,131.48,268.76,36.21,2022-02-17 12:00:00
300,1.65,Estável,114.36,148.87,62.53,2022-02-19 00:00:00
293,1.0,,232.55,271.73,139.5,2022-02-19 10:00:00
294,1.1,Subindo,271.09,318.14,146.24,2022-02-19 12:00:00
295,1.2,Subindo,252.66,361.15,157.32,2022-02-19 14:00:00
296,1.35,Subindo,238.54,413.94,142.85,2022-02-19 16:00:00
297,1.5,Subindo,222.64,451.02,125.22,2022-02-19 18:00:00
298,1.6,Subindo,208.95,443.48,101.69,2022-02-19 20:00:00
299,1.65,Subindo,201.22,436.01,96.03,2022-02-19 22:00:00
301,1.65,,197.38,410.32,96.59,2022-02-20 00:00:00
302,1.35,Estável,197.38,410.32,96.59,2022-02-20 00:00:00
303,1.6,Baixando,195.47,410.32,100.54,2022-02-20 02:00:00
304,1.55,Baixando,189.75,421.24,102.26,2022-02-20 04:00:00
305,1.5,Baixando,191.65,439.74,98.84,2022-02-20 06:00:00
306,1.5,Estável,191.65,436.01,91.06,2022-02-20 08:00:00
307,1.55,Subindo,193.56,406.71,82.03,2022-02-20 10:00:00
308,1.55,Estável,214.79,374.89,74.92,2022-02-20 12:00:00
309,1.55,Estável,208.95,354.36,69.07,2022-02-20 14:00:00
310,1.4,Baixando,208.95,351.0,64.37,2022-02-20 16:00:00
311,1.35,Baixando,189.75,357.75,61.62,2022-02-20 18:00:00
312,1.35,Estável,187.86,357.75,58.04,2022-02-20 20:00:00
313,1.35,Estável,185.97,354.36,55.43,2022-02-20 22:00:00
314,1.35,Estável,185.97,334.38,54.14,2022-02-21 00:00:00
315,1.3,Baixando,187.86,318.14,52.45,2022-02-21 02:00:00
316,1.25,Baixando,171.01,311.76,50.78,2022-02-21 04:00:00
317,1.25,Estável,165.47,314.94,49.96,2022-02-21 06:00:00
318,1.2,Baixando,165.47,311.76,49.14,2022-02-21 08:00:00
319,1.17,Baixando,150.94,289.88,47.93,2022-02-21 10:00:00
320,1.15,Baixando,140.24,271.73,47.52,2022-02-21 12:00:00
321,1.13,Baixando,131.48,254.13,46.33,2022-02-21 14:00:00
322,1.05,Baixando,131.48,237.08,45.15,2022-02-21 16:00:00
323,0.97,Baixando,131.48,215.23,46.72,2022-02-21 18:00:00
347,1.13,Baixando,140.24,251.25,53.29,2022-12-14 00:00:00
324,1.24,Subindo,133.22,254.13,58.49,2022-12-14 01:00:00
325,1.21,Baixando,128.01,254.13,66.23,2022-12-14 02:00:00
326,1.21,Estável,129.74,251.25,72.94,2022-12-14 03:00:00
327,1.19,Baixando,159.99,239.89,74.92,2022-12-14 04:00:00
328,1.14,Baixando,163.64,231.53,74.92,2022-12-14 05:00:00
329,1.13,Baixando,184.08,228.77,72.94,2022-12-14 06:00:00
330,1.1,Baixando,185.97,226.03,70.51,2022-12-14 07:00:00
331,1.09,Baixando,184.08,223.31,68.59,2022-12-14 08:00:00
332,1.09,Estável,185.97,223.31,67.17,2022-12-14 09:00:00
333,1.07,Baixando,189.75,196.92,66.23,2022-12-14 10:00:00
334,1.08,Subindo,195.47,212.57,65.76,2022-12-14 11:00:00
335,1.1,Subindo,195.47,223.31,62.99,2022-12-14 12:00:00
336,1.13,Subindo,185.97,231.53,58.93,2022-12-14 13:00:00
337,1.17,Subindo,174.72,237.08,54.57,2022-12-14 14:00:00
338,1.2,Subindo,159.99,239.89,49.96,2022-12-14 15:00:00
339,1.21,Subindo,161.81,245.54,45.54,2022-12-14 16:00:00
340,1.23,Subindo,159.99,251.25,42.07,2022-12-14 17:00:00
341,1.24,Subindo,142.01,245.54,38.72,2022-12-14 18:00:00
342,1.25,Subindo,143.79,239.89,35.51,2022-12-14 19:00:00
343,1.26,Subindo,142.01,228.77,33.11,2022-12-14 20:00:00
344,1.25,Baixando,142.01,215.23,31.11,2022-12-14 21:00:00
345,1.21,Baixando,143.79,207.29,29.48,2022-12-14 22:00:00
346,1.18,Baixando,143.79,194.37,27.9,2022-12-14 23:00:00
348,1.11,Baixando,143.79,176.94,25.46,2022-12-15 01:00:00
349,1.07,Baixando,131.48,172.11,24.57,2022-12-15 02:00:00
350,1.05,Baixando,124.56,169.71,23.7,2022-12-15 03:00:00
351,1.0,Subindo,201.22,155.67,52.03,2022-12-18 12:00:00
352,1.02,Subindo,207.01,174.52,40.19,2022-12-18 14:00:00
353,1.0,Baixando,185.97,174.52,33.78,2022-12-18 16:00:00
354,0.96,Baixando,185.97,167.33,28.85,2022-12-18 18:00:00
360,0.95,Subindo,129.74,162.62,21.99,2022-12-19 00:00:00
355,0.89,Subindo,126.28,135.69,108.68,2022-12-19 19:00:00
356,0.91,Subindo,126.28,137.85,150.35,2022-12-19 20:00:00
357,0.92,Subindo,129.74,140.02,168.78,2022-12-19 21:00:00
358,0.92,Estável,136.72,140.02,179.87,2022-12-19 22:00:00
359,0.93,Subindo,136.72,142.21,185.16,2022-12-19 23:00:00
384,1.18,Baixando,154.54,146.63,181.38,2022-12-20 00:00:00
361,0.99,Subindo,171.01,157.97,174.66,2022-12-20 01:00:00
362,1.06,Subindo,171.01,172.11,168.05,2022-12-20 02:00:00
363,1.16,Subindo,185.97,189.31,160.86,2022-12-20 03:00:00
364,1.23,Subindo,185.97,204.67,150.35,2022-12-20 04:00:00
365,1.23,Estável,193.56,217.91,136.19,2022-12-20 05:00:00
366,1.32,Subindo,184.08,226.03,119.58,2022-12-20 06:00:00
367,1.34,Subindo,187.86,234.3,103.42,2022-12-20 07:00:00
368,1.38,Subindo,185.97,239.89,88.9,2022-12-20 08:00:00
369,1.33,Baixando,185.97,245.54,76.92,2022-12-20 09:00:00
370,1.39,Subindo,185.97,251.25,68.12,2022-12-20 10:00:00
371,1.41,Subindo,184.08,259.93,61.17,2022-12-20 11:00:00
372,1.39,Baixando,184.08,262.86,55.86,2022-12-20 12:00:00
373,1.38,Baixando,184.08,265.8,50.78,2022-12-20 13:00:00
374,1.37,Baixando,182.2,265.8,47.12,2022-12-20 14:00:00
375,1.34,Baixando,184.08,268.76,43.98,2022-12-20 15:00:00
376,1.31,Baixando,174.72,259.93,41.69,2022-12-20 16:00:00
377,1.29,Baixando,165.47,257.02,39.46,2022-12-20 17:00:00
378,1.27,Baixando,150.94,248.38,38.0,2022-12-20 18:00:00
379,1.25,Baixando,133.22,242.7,36.57,2022-12-20 19:00:00
380,1.24,Baixando,133.22,239.89,35.16,2022-12-20 20:00:00
381,1.21,Baixando,133.22,237.08,34.47,2022-12-20 21:00:00
382,1.21,Estável,134.97,234.3,33.44,2022-12-20 22:00:00
383,1.21,Estável,142.01,231.53,36.21,2022-12-20 23:00:00
408,1.74,Subindo,140.24,226.03,43.98,2022-12-21 00:00:00
385,1.17,Baixando,143.79,217.91,49.55,2022-12-21 01:00:00
386,1.14,Baixando,143.79,207.29,55.86,2022-12-21 02:00:00
387,1.12,Baixando,147.35,196.92,58.49,2022-12-21 03:00:00
388,1.09,Baixando,149.14,194.37,61.62,2022-12-21 04:00:00
389,1.08,Baixando,165.47,189.31,67.64,2022-12-21 05:00:00
390,1.08,Estável,197.38,191.83,75.92,2022-12-21 06:00:00
391,1.08,Estável,228.57,196.92,85.69,2022-12-21 07:00:00
392,1.12,Subindo,226.59,207.29,92.71,2022-12-21 08:00:00
393,1.13,Subindo,240.54,217.91,101.12,2022-12-21 09:00:00
394,1.15,Subindo,244.57,223.31,108.68,2022-12-21 10:00:00
395,1.17,Subindo,277.3,228.77,114.07,2022-12-21 11:00:00
396,1.19,Subindo,287.72,242.7,115.9,2022-12-21 12:00:00
397,1.25,Subindo,310.97,262.86,115.29,2022-12-21 13:00:00
