id,Data,Hora,Vazao,Nivel,Chuva
282,2023-02-05,02:30:00,74.24,775.00,0.00
283,2023-02-05,02:00:00,74.24,775.00,0.00
284,2023-02-05,01:30:00,74.24,775.00,0.00
285,2023-02-05,01:00:00,74.24,775.00,0.00
286,2023-02-05,00:30:00,75.77,776.00,0.00
287,2023-02-05,00:00:00,75.77,776.00,0.00
288,2023-02-04,23:30:00,75.77,776.00,0.00
289,2023-02-04,23:00:00,75.77,776.00,0.00
290,2023-02-04,22:30:00,75.77,776.00,0.00
291,2023-02-04,22:00:00,74.24,775.00,0.00
292,2023-02-04,21:30:00,75.77,776.00,0.00
293,2023-02-04,21:00:00,75.77,776.00,0.00
294,2023-02-04,20:30:00,75.77,776.00,0.00
295,2023-02-04,20:00:00,75.77,776.00,0.00
296,2023-02-04,19:30:00,75.77,776.00,0.00
297,2023-02-04,19:00:00,75.77,776.00,0.00
298,2023-02-04,18:30:00,75.77,776.00,0.00
299,2023-02-04,18:00:00,75.77,776.00,0.00
300,2023-02-04,17:30:00,75.77,776.00,0.00
301,2023-02-04,17:00:00,75.77,776.00,0.00
302,2023-02-04,16:30:00,75.77,776.00,0.00
303,2023-02-04,16:00:00,75.77,776.00,0.00
304,2023-02-04,15:30:00,75.77,776.00,0.00
305,2023-02-04,15:00:00,75.77,776.00,0.00
306,2023-02-04,14:30:00,75.77,776.00,0.00
307,2023-02-04,14:00:00,75.77,776.00,0.00
308,2023-02-04,13:30:00,75.77,776.00,0.00
309,2023-02-04,13:00:00,75.77,776.00,0.00
310,2023-02-04,12:30:00,75.77,776.00,0.00
311,2023-02-04,12:00:00,74.24,775.00,0.00
312,2023-02-04,11:30:00,75.77,776.00,0.00
313,2023-02-04,11:00:00,74.24,775.00,0.00
314,2023-02-04,10:30:00,75.77,776.00,0.00
315,2023-02-04,10:00:00,75.77,776.00,0.00
316,2023-02-04,09:30:00,75.77,776.00,0.00
317,2023-02-04,09:00:00,75.77,776.00,0.00
318,2023-02-04,08:30:00,75.77,776.00,0.00
319,2023-02-04,08:00:00,74.24,775.00,0.00
320,2023-02-04,07:30:00,75.77,776.00,0.00
321,2023-02-04,07:00:00,75.77,776.00,0.00
322,2023-02-04,06:30:00,74.24,775.00,0.00
323,2023-02-04,06:00:00,75.77,776.00,0.00
324,2023-02-04,05:30:00,74.24,775.00,0.00
325,2023-02-04,05:00:00,75.77,776.00,0.00
